idx,feature,sym,code,category
386,cts066,cts,066,Kitchen - Food Storage
387,cts067,cts,067,Kitchen - Kitchen Accessories
388,cts068,cts,068,Kitchen - Kitchen Appliance
389,cts069,cts,069,Kitchen - Kitchen Disposable
390,cts070,cts,070,Kitchen - Tableware
391,cts071,cts,071,Kitchen - Tools & Gadgets
392,cts072,cts,072,Meal & Healthy - Healthy food
393,cts073,cts,073,Meal & Healthy - Meal Essentials
394,cts074,cts,074,Overseas Travel - Accommodation
395,cts075,cts,075,Overseas Travel - Air/Transportation
396,cts076,cts,076,Overseas Travel - Car Rental
397,cts077,cts,077,Overseas Travel - Package
398,cts078,cts,078,Overseas Travel - Ticket/Pass
399,cts079,cts,079,Personal Care - Adult Goods
400,cts080,cts,080,Personal Care - Body Care
401,cts081,cts,081,Personal Care - Digital Scale
402,cts082,cts,082,Personal Care - Electric Toothbrush
403,cts083,cts,083,Personal Care - Hair Care
404,cts084,cts,084,Personal Care - Health Care
405,cts085,cts,085,Personal Care - Hygienic Care
406,cts086,cts,086,Personal Care - Oral Care
407,cts087,cts,087,Pet - Cat Food
408,cts088,cts,088,Pet - Cat Supply
409,cts089,cts,089,Pet - Dog Food
410,cts090,cts,090,Pet - Dog Supply
411,cts091,cts,091,Pet - Small Animals
412,cts092,cts,092,Shoes - Fashion Shoes
413,cts093,cts,093,Shoes - Sports Shoes
414,cts094,cts,094,"Snacks, Coffee & Tea - Coffee & Tea"
415,cts095,cts,095,"Snacks, Coffee & Tea - Snacks"
416,cts096,cts,096,Sporting Goods - Exercise & Fitness
417,cts097,cts,097,Sporting Goods - Outdoor & Camping
418,cts098,cts,098,Sporting Goods - Sports Equipment
419,cts099,cts,099,Stationery - Arts & Hobbies
420,cts100,cts,100,Stationery - Novelty
421,cts101,cts,101,Stationery - Office Supplies
422,cts102,cts,102,Toys - Baby Toys
423,cts103,cts,103,Toys - Kids Toys
424,cts104,cts,104,Toys - Kidult Toys
425,cts105,cts,105,all
426,cts106,cts,106,null
427,dpo001,dpo,001,Accessory - Bag
428,dpo002,dpo,002,Accessory - Other Accessory
429,dpo003,dpo,003,Accessory - Suitcase
430,dpo004,dpo,004,Accessory - Watch & Jewely & Glasses
431,dpo005,dpo,005,Apparel - Baby Fashion
432,dpo006,dpo,006,Apparel - Casual Clothes
433,dpo007,dpo,007,Apparel - Men Clothes
434,dpo008,dpo,008,Apparel - Sports Clothes
435,dpo009,dpo,009,Apparel - Underwear & Homewear
436,dpo010,dpo,010,Apparel - Women Clothes
437,dpo011,dpo,011,Baby Convenience - Baby Home
