member_srl,dpo087,dpo090,cto089,dpo089,cto087,cto090,dpq087,dpq090,dpq089,aas089,gpd089,cto088,gpd087
593243,21.47,15.21,19.0,18.25,16.0,23.0,21.47,7.93,8.69,292310.0,798.66,15.0,2006.48
18567667,24.33,13.04,14.0,24.33,14.0,27.0,16.59,5.7,11.06,248400.0,678.69,6.0,1192.4
748091,20.28,19.21,9.0,36.5,17.0,18.0,14.6,15.87,30.42,157500.0,430.33,0.0,947.98
27596,18.25,24.33,11.0,30.42,19.0,14.0,11.06,11.77,11.77,284440.0,777.16,11.0,1047.16
46829684,45.63,14.04,5.0,60.83,7.0,25.0,30.42,6.29,52.14,79390.0,216.91,0.0,315.55
186020,33.18,52.14,4.0,73.0,10.0,6.0,30.42,52.14,52.14,29736.0,81.25,1.0,793.03
10098451,33.18,10.74,11.0,30.42,10.0,33.0,33.18,6.08,21.47,394150.0,1076.91,1.0,416.78
3421696,19.21,21.47,21.0,16.59,18.0,16.0,7.3,13.52,4.01,669810.0,1830.08,10.0,894.04
22113860,19.21,18.25,14.0,24.33,18.0,19.0,14.6,6.19,5.98,956680.0,2613.88,17.0,1956.97
173994,60.83,24.33,10.0,33.18,5.0,14.0,45.63,22.81,18.25,217360.0,593.88,0.0,277.92
2987382,24.33,17.38,6.0,52.14,14.0,20.0,16.59,16.59,45.63,101000.0,275.96,0.0,809.86
1776752,19.21,19.21,12.0,28.08,18.0,18.0,10.74,5.7,20.28,465790.0,1272.65,3.0,5565.61
54570406,52.14,13.04,9.0,36.5,6.0,27.0,52.14,6.08,13.04,71600.0,195.63,0.0,434.97
48400,40.56,73.0,10.0,33.18,8.0,4.0,9.86,73.0,17.38,287280.0,784.92,0.0,788.93
2855740,36.5,11.77,7.0,45.63,9.0,30.0,5.21,10.14,22.81,232280.0,634.64,43.0,825.44
201882,60.83,40.56,8.0,40.56,5.0,8.0,40.56,33.18,28.08,146850.0,401.23,4.0,201.04
2494697,22.81,15.87,8.0,40.56,15.0,22.0,11.41,7.93,26.07,122840.0,335.63,1.0,1181.8
2774555,22.81,13.04,16.0,21.47,15.0,27.0,22.81,7.02,13.04,287240.0,784.81,6.0,1654.45
583029,17.38,45.63,13.0,26.07,20.0,7.0,6.19,30.42,20.28,118020.0,322.46,14.0,1167.27
2327233,16.59,30.42,18.0,19.21,21.0,11.0,7.93,20.28,7.16,404170.0,1104.29,0.0,1472.16
101157,19.21,33.18,7.0,45.63,18.0,10.0,8.69,16.59,22.81,138060.0,377.21,21.0,960.96
1538369,16.59,36.5,14.0,24.33,21.0,9.0,5.89,7.02,12.17,254570.0,695.55,6.0,1230.96
10128135,28.08,11.06,16.0,21.47,12.0,32.0,20.28,4.8,13.52,203610.0,556.31,12.0,672.87
14827904,19.21,17.38,13.0,26.07,18.0,20.0,9.61,9.61,11.06,435160.0,1188.96,12.0,3064.81
1134877,52.14,11.41,19.0,18.25,6.0,31.0,33.18,10.43,6.4,297430.0,812.65,1.0,283.63
656654,60.83,21.47,22.0,15.87,5.0,16.0,33.18,12.17,7.16,1273140.0,3478.52,7.0,209.43
18499803,30.42,12.17,26.0,13.52,11.0,29.0,22.81,5.37,6.19,700450.0,1913.8,6.0,628.52
3107796,26.07,12.59,23.0,15.21,13.0,28.0,17.38,5.0,5.21,384870.0,1051.56,1.0,746.8
8385237,16.59,45.63,15.0,22.81,21.0,7.0,9.86,33.18,15.87,219460.0,599.62,11.0,794.95
3384499,18.25,19.21,20.0,17.38,19.0,18.0,13.04,15.87,11.77,286410.0,782.54,6.0,1650.66
780961,28.08,11.41,11.0,30.42,12.0,31.0,14.04,5.29,20.28,154090.0,421.01,0.0,937.46
